,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
151949,4,5,2,5,4,4,4,4,5,4,3,3
135069,3,2,2,2,2,3,3,3,3,3,2,2
528667,5,5,2,4,3,3,4,3,3,3,1,3
245808,3,2,2,3,2,3,1,2,3,2,1,1
128517,4,4,2,3,3,3,4,3,3,3,1,2
338682,4,5,2,4,3,4,4,4,5,4,2,3
64003,5,5,3,5,4,4,4,4,5,4,3,4
446225,3,3,2,3,2,3,1,2,3,2,0,1
455510,2,2,1,1,2,1,1,2,2,2,0,1
168772,2,2,1,2,0,0,2,1,1,2,1,1
268856,3,3,2,2,3,2,3,3,3,2,1,2
497670,3,4,2,1,3,3,3,3,3,3,2,2
175880,4,3,2,3,3,3,4,3,3,2,1,2
326293,4,5,2,5,3,5,4,4,5,4,3,3
537469,4,3,2,4,3,3,4,3,3,3,1,2
356546,3,3,2,2,2,3,3,3,3,2,1,2
72144,5,5,2,4,3,3,4,4,4,4,2,3
58365,4,4,2,3,3,3,3,3,3,3,2,2
520993,2,2,2,1,2,2,2,2,3,2,1,1
82543,4,3,2,3,3,3,4,3,3,2,1,2
436531,4,3,2,3,3,3,4,3,3,2,1,2
531436,4,3,2,3,3,4,4,3,4,3,1,3
121520,4,5,3,4,3,4,4,4,5,4,3,3
222379,3,3,2,2,2,3,3,3,3,3,1,2
391477,4,3,2,3,3,3,3,3,3,3,1,3
52148,3,2,1,2,2,1,3,1,3,2,1,1
507945,4,4,2,3,3,3,4,3,3,2,0,2
379157,4,3,2,3,3,3,3,3,3,2,1,2
56367,4,3,2,4,3,3,4,3,3,3,1,3
318185,3,2,2,1,2,1,2,2,3,3,2,2
441458,4,3,2,3,3,3,4,3,3,3,1,2
94498,4,3,2,2,2,3,3,3,3,3,2,2
548242,3,3,2,3,3,3,3,3,3,3,1,2
388417,4,3,2,3,3,3,4,3,4,4,1,2
215564,3,3,2,2,2,3,3,3,3,3,1,2
209092,3,2,2,3,2,1,3,3,1,2,1,1
564920,5,5,3,4,4,4,4,4,5,4,4,3
543504,1,2,1,1,0,1,1,0,2,2,1,1
541439,4,2,2,3,2,1,3,1,3,2,2,1
110648,4,3,2,3,3,3,4,3,3,2,1,2
406120,1,0,1,0,1,1,1,1,1,1,1,0
347583,3,2,2,3,2,3,3,3,3,2,1,1
75624,2,2,1,1,2,1,1,2,3,2,1,1
211707,4,3,2,2,2,3,3,3,3,3,1,2
354042,2,2,1,0,0,1,2,1,2,2,1,1
208821,4,3,2,3,3,3,3,3,3,3,1,2
337417,3,2,1,1,2,1,2,2,3,2,1,1
262431,4,4,2,4,3,4,4,3,4,3,2,2
537021,5,5,3,4,4,4,4,4,5,4,4,4
69373,2,1,1,1,1,1,1,1,2,1,1,1
365932,5,5,3,4,3,4,4,4,5,4,3,3
413,4,5,2,3,1,4,3,1,2,2,3,2
331775,2,2,1,0,2,1,1,2,2,2,1,1
449958,4,2,2,3,3,3,3,3,4,3,2,2
412627,2,2,1,2,2,1,3,1,1,2,1,1
